dc:title,dc:description,dc:creator,dc:type,dc:rights,dc:format,dcterms:created
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
"Lynette & Peter Reid, Joyce Reid portraits.",Half-length and head and shoulders portraits of Lynette and Peter Reid.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1976-11
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
Portraits of the actors and scenes from Endgame at the Malthouse Theatre.,"Includes further portrait photographs of the actors and scenes from the performance on stage. Subjects not identified, but actors included Simon MacGuiness and Gwen De Lacy; Mime Angelo.  Directed by David Vadivaloo.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1991-02
Wedding of Vivian Jarny [or Garny?].,"Includes bride and groom, attendants and guests at the wedding.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1980/1989
Jan Stewart.,"Bust, to left, smiling, dark hair falling over her right shoulder, mohair pullover.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1958/1972
"Photographic portrait of an unidentified woman, possibly Gloria Velik.","Almost whole-length, to right, blond hair, seated with knees crossed on the arm of a chair, TV with album cover for 'Montague the mouse who sailed with Captain Cook' on right, artwork on the wall behind her.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1979
Mary Cowan.,"Portraits of people associated with Mary Cowan; includes small children, women, family group at a dining table, boys with balloons, family group standing near a dining table.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1980/1989
Portraits of the actors and scenes from Endgame at the Malthouse Theatre.,"Includes further portrait photographs of the actors and scenes from the performance on stage. Subjects not identified, but actors included Simon MacGuiness and Gwen De Lacy; Mime Angelo.  Directed by David Vadivaloo.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1991-02
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
Jan Stewart.,"Shows the model Jan Stewart in various poses including standing surrounded by a football team, standing on a pathway in a park, head and shoulders portraits, wearing a yellow dress with fringe at the hemline, wearing a pink plaid jacket and pink pants, wearing a red leisure suit and holding a cigarette, wearing a blue and green dress and wearing a red dress with straw hat.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
Lyndal Chalmers wedding.,"Shows the bride and groom, bridesmaids, best men and families; includes church service, cutting the wedding cake and group portraits.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1989
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
"Clem Fraser, Chicago.","Includes other images of subject, some in city street, standing with others in front of buildings, wearing a quilted dressing gown in a bedroom, beside cars on a country road, and with car loaded with chair, parked at curb in city. Also includes portrait shots standing with a baby on his shoulders.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1955/1961
"Children, Gardenvale.","Shows 2 boys smiling at the camera, small boy in the street in a pusher, small girl with curly hair pushing a doll's pusher.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1979
Mary and Yvonne Young.,Shows Mary and Yvonne Young and others sitting around a dining table and playing music.,"Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1996-06
"Children, Gardenvale.","Shows 2 boys smiling at the camera, small boy in the street in a pusher, small girl with curly hair pushing a doll's pusher.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1979
Unidentified artist.,"Almost whole-length, to left, standing, wearing long sleeved smock, holding a paintbrush, large painting before her depicting angular three-dimensional shapes.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1970/1979
Edinburgh cigarette advertisement.,"Shows head and shoulders of man with a moustache and wearing a suit, smoking a cigarette; also head and shoulders of a woman smoking.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1963-04
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
"The Twins, directed by Lynne Ellis, La Mama, Carlton.","Two young men, wearing similar jackets and shirts, seated, full face.  Includes other images of the men on stage wearing jackets over short pants, sitting side by side, facing each other, and other poses.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1990/1999
"Dallas Kinney, photographer; Unidentified young woman.","Includes thirteen other images of Dallas Kinney in various poses, some formal portrait photographs. Maggie Diaz was mentor to Dallas Kinney, now a Pulitzer prize-winning photojournalist.  Also includes two photographs of an unidentified young woman.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1950/1959
Mary Cowan.,"Portraits of people associated with Mary Cowan; includes small children, women, family group at a dining table, boys with balloons, family group standing near a dining table.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1980/1989
"Mixed portraits, of friends of photographer.","Young woman, head and shoulders, with long hair.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
Woman with award.,"Shows Natalie Jacotine, almost three-quarter length, standing, holding an award. The award reads: Stockdale & Leggo / Property Management Award / Greatest Number of Properties / Added to Rent Roll 1997 / Natalie Jacotine / Feren - Stockdale & Leggo","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1997/1998
"Charm class, Lower North Centre, Chicago, United States.","Portrait photographs of young African American women, standing, seated, posed looking out of window, profiles, standing in front of a blackboard, includes young girls, one in a party frock; Also shows them in a group in 'classes'; putting on makeup.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1953/1961
Jan Stewart.,"Shows the model Jan Stewart in various poses including standing surrounded by a football team, standing on a pathway in a park, head and shoulders portraits, wearing a yellow dress with fringe at the hemline, wearing a pink plaid jacket and pink pants, wearing a red leisure suit and holding a cigarette, wearing a blue and green dress and wearing a red dress with straw hat.","Diaz, Maggie,1925-2016, photographer.",StillImage,This work is in copyright.,TIFF,1960/1969
